Nombre,Dirección,Servicios
Crossfit Macarena box,"Calle María Auxiliadora 18E
                                , Sevilla","CrossFit, Gimnasio, Vestuarios"
Gym El Músculo,"Calle Juan Pablo II 7
                                , Espartinas",Gimnasio
Training For Gold,"Calle Castelar 2
                                , Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Step, Campos de fútbol, Piscina, Gimnasio, Vestuarios"
Gimnasio jose Coello,"Calle Trafalgar 75
                                , San Juan de Aznalfarache","Defensa Personal, Step, Gimnasio, Vestuarios"
Bodyclub Sevilla Este,"C. Cueva de Menga 1
                                , Sevilla","Entrenamientos personalizados, Gimnasio, Vestuarios"
Gimnasio Zade,"Calle Dr. Isidoro Páez 3
                                , Camas","Gimnasio, Vestuarios"
Lorgavisport,"Plaza Suz Pp10 la Zarza Cord 2-16
                                , Palomares del Río",Gimnasio
Polideportivo de Brenes,"Calle el Juncal nº 7
                                , Brenes",Gimnasio
Natur Sport,"Calle Formentor 21
                                , Camas","CrossFit, Spinning, Zumba, Gimnasio"
Gimnasio Laocoonte,"Calle Charolistas
                                , Sevilla","Actividades dirigidas, Spinning, Zumba, Gimnasio"
Mecalazo Sport,"Calle Jacinto 2-A
                                , Valencina de la Concepción",Gimnasio
Escuela Del Agua,"C. Marinero Sebastián Ortiz 0
                                , Gelves","Escuela de natación, Piscina, Gimnasio, Vestuarios"
Balance Sport Clinic,"Plaza De Cuba 9
                                , Sevilla","Fisioterapeuta deportivo, Gimnasio"
TocaSport Villaverde,"Av del Convento 54
                                , Villaverde del Río","CrossFit, Aerobic, Spinning, Pistas de pádel, Gimnasio, Aparcamiento, Sala de spinning"
Gimnasio Cultur Sport,"Av. Pintor Ocaña 43
                                , Cantillana","Entrenamientos personalizados, Gimnasio"
KIMOCHI DOJO,"Calle Hermanos Álvarez Quintero 61
                                , Brenes",Gimnasio
"Taekwondo, Escuela de Artes Marciales El Viso Del Alcor","Calle Corredera 347
                                , El Viso del Alcor",Gimnasio
WFitzone,"Calle Prosperidad 3
                                , Gelves","Actividades dirigidas, Gimnasio, Aparcamiento, Vestuarios"
Gimnasio areafit,", Sevilla",Gimnasio
Monroy Gym,"Calle Julián de Galo 17
                                , Mairena del Alcor",Gimnasio
NANA-GYM,"Calle Rigoberta Menchú 6
                                , Los Palacios y Villafranca",Gimnasio
ALMAZARA CLUB,"Calle Mayorales 2
                                , Utrera","Servicio de taquillas, Pistas de pádel, Piscina, Gimnasio, Bar-restaurante, Vestuarios"
Club Gimmnasio Millan,"Calle Salvador Dalí 9
                                , Utrera",Gimnasio
ON Sport & Wellness,", Utrera",Gimnasio
Pako's Gym,"Calle Esperanza 29
                                , Dos Hermanas","Yoga, Gimnasio"
BOXING CLUB SAN JOSE,"C. Isaac Newton 19
                                , La Rinconada","Boxeo, Gimnasio"
Club Antares,"C/ Gonzalo Jimenez de Quesada 2
                                , Sevilla",Gimnasio
Padel Manias,"C. Cueva Peñarrubia 33
                                , Casariche","Pistas de pádel, Gimnasio"
Padel Now,"C. Juan Ramón Jiménez 16
                                , Gerena","Pistas de pádel, Gimnasio"
K-Nutrition,"Sierra de Calvitero 28
                                , Dos Hermanas","Actividades dirigidas, Gimnasio"
Centro Deportivo Polígono Sur,"C. Reina de la Paz s/n
                                , Sevilla","Pistas de pádel, Gimnasio, Aparcamiento, Vestuarios"
Pistas Zona Centro Camas,"C. de Joaquín Camino 2
                                , Camas","Gimnasio, Aparcamiento"
Polideportivo Municipal El Pedroso,", El Pedroso","Piscina, Gimnasio, Bar-restaurante"
La Magia Del Pádel,"C. Albañil 2I
                                , Coria del Río","Pistas de pádel, Gimnasio"
Piscina Municipal Alcala Guadira,"C. José Ortega y Gasset 1
                                , Alcalá de Guadaíra","Piscina, Gimnasio"
Piscina Montequinto,"C. Arona 2
                                , Dos Hermanas","Escuela de natación, Piscina, Gimnasio"
"Centro Deportivo La Unión-La Oliva ""Pepe Mula""","Ronda Ntra. Sra. de la Oliva
                                , Sevilla",Gimnasio
TM Fitness Studio,"C. Luis Contreras 7
                                , Alcalá de Guadaíra","Zumba, Gimnasio"
Estadio Antonio Almendro (Castilleja),"C. Camino del Solís 7
                                , Castilleja de la Cuesta",Gimnasio
Piscina Cubierta Municipal,"Av. de Andalucía s/n
                                , Constantina","Piscina, Gimnasio"
Sportres,"Camino Salteras 10
                                , Espartinas",Gimnasio
Funcional Sport Center,"Calle Madre de Dios 30
                                , Marchena",Gimnasio
"Gimnasio Municipal ""Kaelia""","Ronda de Andalucia
                                , Albaida del Aljarafe",Gimnasio
Luis Manuel Maldonado Entrenador Personal,"Calle Tomás Pérez
                                , Sevilla",Gimnasio
Club de Petanca Joselito el Gallo,", Gelves",Gimnasio
Toca Sport Cantillana,"Calle Ctra. de Lora 33
                                , Cantillana",Gimnasio
All Star Fit Gimnasio,"Calle Isaac Peral 3
                                , Sanlúcar la Mayor","Gimnasio, Aparcamiento, Tienda deportiva"
WORKOUT CALISTENIA TOMARES,", Tomares",Gimnasio
ALIAD SPORT,"Calle Albardoneros 4
                                , Carmona",Gimnasio
Zeta-Gym,"Av. de Sevilla 94
                                , Los Palacios y Villafranca",Gimnasio
Salud Sport Club,"Calle San José 11
                                , La Rinconada",Gimnasio
Hispano Fitness,"Av. Blas Infante 1
                                , Utrera",Gimnasio
Bodymastergym,"Av. Cristobal Colon 59
                                , Dos Hermanas",Gimnasio
Basic-Fit Sevilla Luis Montoto,"Calle Luis Montoto 132
                                , Sevilla","Gimnasio, Vestuarios"
YO10 Sport Club Sevilla,"C.C. Torre-Sevilla 2
                                , Sevilla","Actividades dirigidas, Entrenamientos personalizados, Piscina, Gimnasio, Aparcamiento, Vestuarios"
Trianasport gym,"Calle Castilla 161
                                , Sevilla","Gimnasio, Vestuarios"
BODYFIT CENTER,", San Juan de Aznalfarache","Actividades dirigidas, Pilates, Spinning, Gimnasio, Aparcamiento, Vestuarios, Sala Fitness"
Gimnasio Family Fitness,"Calle Alonso Carrillo 24
                                , Sevilla","Pilates, Gimnasio"
Brooklyn Fitboxing Aljarafe,", Mairena del Aljarafe","Step, Boxeo, Entrenamiento Funcional, Gimnasio, Vestuarios"
Fitness club San José,", La Rinconada","Servicio de nutrición y dietética, Piscina, Gimnasio, Vestuarios, Sala de spinning"
Gimnasio Low Cost Guerra,"Calle Juan Talavera Heredia 25
                                , Sevilla","Gimnasio, Vestuarios"
Gym Real,", Castilleja de la Cuesta",Gimnasio
New Radykal GYM,"Calle Portalegre 13
                                , Sevilla","Entrenamientos personalizados, Gimnasio"
Gimnasio en Sevilla | Gimnasio fitness world,"C. Estrella Sadir 1B
                                , Sevilla","Gimnasio, Vestuarios"
FuncionalFitcoria,"Toneleros 8
                                , Coria del Río","Actividades dirigidas, Spinning, Zumba, Gimnasio"
Quirosfera,"Calle San Miguel N 2
                                , Marchena",Gimnasio
ACM Gym,"Av. la Industria 23
                                , Sevilla","WiFi, Step, Yoga, Gimnasio, Vestuarios, Sala HBX"
Germano Sport,"Calle Macarena 38
                                , Sevilla","Gimnasio, Vestuarios"
AMPA GYM,"Av. de la Ermita 2
                                , La Rinconada",Gimnasio
ᴍʏGʏᴍ,"Calle Bolivia 0
                                , Sevilla","WiFi, Step, Yoga, Gimnasio, Vestuarios, Sala HBX"
Top Training Studio,"Calle Virgen de Begoña 1
                                , Sevilla","Gimnasio, Vestuarios"
Zinnia Sport,"Calle Félix Echegoyan 24
                                , Espartinas","CrossFit, Pilates, Spinning, Gimnasio, Vestuarios"
Revolution Training,"Neron 7
                                , Dos Hermanas","Pilates, Gimnasio"
Jayro,"Calle Antonio Casado 2
                                , Coria del Río","Spinning, Gimnasio, Vestuarios"
Cuidarte,"Calle Sierra Nte. 8
                                , Lora del Río",Gimnasio
Fitness City,"Av. del Barrerillo S/N
                                , Bormujos","Pilates, Gimnasio"
OKEYMAS Utrera,"Plaza Ximénez de Sandoval 2
                                , Utrera","Defensa Personal, Gimnasio, Vestuarios"
Polideportivo Universitario San Juan Bosco - Gimnasio Atlas,"Calle Salesianos 3
                                , Sevilla","Pistas de tenis, Pistas de pádel, Campos de fútbol, Gimnasio, Aparcamiento"
Alcores Padel Indoor,"C. Genil 3
                                , Mairena del Alcor","Pistas de pádel, Gimnasio"
Pistas de Paddle Vereda de las Cruces,"Vereda de Las Cruces 25
                                , Villanueva de San Juan",Gimnasio
Club Deportivo Olivar de Quintos,"C. Lupulo S/N
                                , Dos Hermanas","Clases de tenis, Piscina, Gimnasio, Bar-restaurante, Vestuarios"
Basic-Fit Sevilla San Juan De Aznalfarache CC Cavaleri,", San Juan de Aznalfarache","Gimnasio, Vestuarios"
Pabellón Alameda,"C. Buen Aire 16
                                , Morón de la Frontera",Gimnasio
CLUB DEPORTIVO DEHESA DEL REY,", Coria del Río","Gimnasio, Aparcamiento, Bar-restaurante"
Piscina San Jose,"C. Villaverde del Rio
                                , La Rinconada","Piscina, Gimnasio, Aparcamiento"
Origen Box Centro Fitness,"Camino la Depuradora nº 7
                                , Lebrija",Gimnasio
Inst. Deportiva La Cartuja,"Zona Isla de la Cartuja 22
                                , Santiponce",Gimnasio
OKEYMAS Gines,"Av. de la Industria s/n
                                , Gines","Gimnasio, Sala Fitness"
Pabellon Lora Del Rio,"Calle Cabo de Gata 24
                                , Lora del Río",Gimnasio
AOSSA Sport Carmona,"Calle Azafrán S/N
                                , Carmona","Vending, Fisioterapeuta deportivo, Servicio de taquillas, Piscina, Gimnasio, Zona infantil, Vestuarios, Jacuzzi"
Centro Deportivo Camas,"Calle Jaime I 1
                                , Camas",Gimnasio
Gimnasio Límite Gym,"Calle Cristóbal Colón 25
                                , Alcalá de Guadaíra",Gimnasio
El Bigotes Boxeo Sevilla,"Calle Huerto del Maestre 4
                                , Sevilla","Boxeo, Gimnasio"
La Fabrica 1.0,", Sevilla",Gimnasio
BODYGYM health club,"C. Alfareros 3
                                , Écija","Gimnasio, Bar-restaurante"
CLUB TAEKWONDO KORYA,"C. Tapadores 11
                                , Coria del Río",Gimnasio
Centro Deportivo Sthenos,"Islas Chafarinas 4
                                , Dos Hermanas",Gimnasio
Club Bernier,"C. Brasil s/n
                                , Gelves","Pistas de tenis, Pistas de pádel, Piscina, Gimnasio, Bar-restaurante"
CrossFit Taboo,"Av. Jerónimo de Aguilar 11
                                , Écija","CrossFit, GAP, Gimnasio"
Bull Fitness Gym,"C. Calígula 12
                                , Dos Hermanas",Gimnasio
Clínica de Fisioterapia Itálica en Santiponce,"Calle Scipión 6
                                , Santiponce","Fisioterapeuta deportivo, Yoga, Gimnasio"
Dáliathe Sport Gimnasio,", Carmona",Gimnasio
Fisio Sport,"Av. de Andalucia 163
                                , Dos Hermanas","Fisioterapeuta deportivo, Gimnasio"
Lowfit Dos Hermanas,"Av. de la Libertad 5
                                , Dos Hermanas","Actividades dirigidas, Entrenamientos personalizados, Piscina, Gimnasio, Aparcamiento, Vestuarios"
Areafit® Aleste,"C. Periodista José Antonio Garmendia 3
                                , Sevilla","Gimnasio, Vestuarios"
Basic-Fit Sevilla CC Vega del Rey,"Calle la Pañoleta 4
                                , Camas","Piscina, Gimnasio, Aparcamiento, Vestuarios"
Basic-Fit San Juan De Aznalfarache,"Poligono Sector 1. 2 2T
                                , San Juan de Aznalfarache","Servicio de taquillas, Actividades dirigidas, Entrenamientos personalizados, Gimnasio, Vestuarios"
Gym Piña,"Calle Federico García Lorca 27
                                , Casariche",Gimnasio
Obopadel,", Marchena","Pistas de pádel, Gimnasio"
Gym Aerosport,"Calle Playa de las Cantera 44
                                , La Algaba","Spinning, Entrenamiento Funcional, Gimnasio"
Pabellon Bormujos,"C. José Luis Caro 16
                                , Bormujos",Gimnasio
Elite Fitness Carmona,"Calle Cibeles 16
                                , Carmona","Spinning, Gimnasio"
AlpodiuM,"Av. de España 165
                                , Dos Hermanas","Entrenamientos personalizados, Gimnasio"
Gimnasio Martin De La Jara,"Av. los Almendrillos 78
                                , Martín de la Jara",Gimnasio
Pista de atletismo Rafael Curado,", Los Palacios y Villafranca",Gimnasio
Villa Angela,", Lebrija",Gimnasio
Real Círculo de Labradores y Propietarios de Sevilla,"C. Juan Sebastián Elcano 1
                                , Sevilla","Pistas de pádel, Pistas de pickleball, Piscina, Gimnasio, Bar-restaurante"
Lowfit Aljarafe,"Calle Cañada de los Negreros s/n
                                , Castilleja de la Cuesta","Actividades dirigidas, Entrenamientos personalizados, Gimnasio, Aparcamiento, Vestuarios"
SADUS - Servicio de Actividades Deportivas de la Universidad de Sevilla (Bermejales),"Av. Dinamarca
                                , Sevilla","Pistas de tenis, Piscina, Gimnasio, Vestuarios"
Freedom Fitness,"Calle Luxemburgo 5
                                , Sevilla","Pilates, Yoga, Cross Training, Gimnasio, Vestuarios"
Gimnasio NewFit,"Calle Romera 11
                                , Dos Hermanas","Aquagym, Fisioterapeuta deportivo, Actividades dirigidas, Gimnasio, Vestuarios, Sala de spinning"
Planet Gym Tomares,"Av. del Aljarafe 14
                                , Tomares","Aquagym, Step, Body Pump, Piscina, Gimnasio, Vestuarios, Zona funcional, Sala de spinning"
Centro Deportivo Hispano Aviación,"Plaza del Monte Pirolo
                                , Sevilla","Gimnasio, Vestuarios"
Polideportivo Arahal,"Calle Santísima Trinidad
                                , Arahal",Gimnasio
Centro Deportivo San Pablo Fútbol,"C. Tesalónica
                                , Sevilla",Gimnasio
Santanas Padel Courts,"C. Nicolás Copérnico
                                , La Rinconada","Pistas de pádel, Gimnasio"
Centro Deportivo Los Montecillos,"C. las Botijas 31C
                                , Dos Hermanas","Piscina, Gimnasio, Pistas de atletismo"
Polideportivo Municipal Tocina/Los Rosales.,"Ctra. Tocina los Rosales 2
                                , Tocina","Piscina, Gimnasio"
CD Elite Fitness,"Av. Juan Pablo II
                                , Bollullos de la Mitación","Servicio de taquillas, Body Pump, HIIT, Gimnasio, Vestuarios"
Pabellon Cubierto Las Cabezas De San Juan,"Calle Chipiona 2
                                , Las Cabezas de San Juan","Gimnasio, Pistas de voleibol, Pistas de voley playa"
Mítica Sport,"Calle Rafael Alberti 3
                                , La Algaba",Gimnasio
AD Mosqueo,"Av de las Marismas
                                , Los Palacios y Villafranca",Gimnasio
Seven Gym,"Av. Parsi 5
                                , Sevilla",Gimnasio
Unlimited GYM,"Calle Lechin 10
                                , Marchena",Gimnasio
Club Deportivo CDAKYO,"Calle Martín Ruiz 36
                                , Camas","Kick-boxing, Spinning, Gimnasio"
Curves Sevilla Porvenir,"Calle Diego de la Barrera 16
                                , Sevilla",Gimnasio
McFit Tomares,"P.C. Aljarafe. Av. del Manchón, s/n
                                , Tomares","Actividades dirigidas, Gimnasio, Vestuarios"
Campo Municipal U.D. Dos Hermanas,", Dos Hermanas",Gimnasio
Polideportivo San Pablo,"Calle Dr. Laffon Soto s/n
                                , Sevilla","Aerobic, Pistas de pádel, Piscina, Gimnasio, Aparcamiento, Vestuarios"
"Centro Social, Deportivo y Cultural Las Portadas","C. Gravelinas
                                , Dos Hermanas","Piscina, Gimnasio"
Fitness Scola Sport,"Via de la Plata 13
                                , Dos Hermanas",Gimnasio
Campo de Fútbol Jozabed Sánchez Ruiz,"C. Vicente Aleixandre s/n
                                , Mairena del Alcor","Campos de fútbol, Gimnasio"
Padel 2 Montequinto,", Dos Hermanas","Pistas de pádel, Piscina, Gimnasio"
Pistas Futbol 7 /Padel,"C. Huerta Grande 64
                                , Alcalá del Río","Pistas de pádel, Gimnasio"
Padel CIUDAD EXPO,", Mairena del Aljarafe","Pistas de pádel, Gimnasio"
Gym Atlantisport,"Calle Cruz 83
                                , Osuna","Gimnasio, Sala HBX"
Cris Global Salud,"Calle San Juan de Dios 16
                                , Sevilla",Gimnasio
Lowfit Sevilla Este,"Avenida Alcalde Luis Uruñuela, s/n
                                , Sevilla","Actividades dirigidas, Entrenamientos personalizados, Gimnasio, Aparcamiento, Vestuarios"
Match Point Sevilla Fitness y pádel,"C. Vía Apia 24
                                , Dos Hermanas","Clases de pádel, Entrenamientos personalizados, Entrenamiento Funcional, Pistas de pádel, Pistas de squash, Gimnasio, Vestuarios, Sauna"
Areafit® Cuesta del Rosario,"Cuesta del Rosario 8
                                , Sevilla","BodyCombat, Step, BodyBalance, Gimnasio, Zona infantil, Vestuarios, Ludoteca, Sala de spinning"
Sevilla Gym,"Calle Amor de Dios 35
                                , Sevilla","WiFi, Actividades dirigidas, Step, Gimnasio, Vestuarios, Sala HBX"
Club De Campo Sevilla Entrada,", La Rinconada","Piscina, Gimnasio"
Personal Trainer Sevilla,"Av. de Diego Martínez Barrio 8
                                , Sevilla","TRX, Entrenamientos personalizados, Gimnasio, Vestuarios"
Pabellón Municipal de Deportes,"Calle Manuel Canela 22
                                , Gines","Judo, Gimnasio"
Pabellón deportivo,"Calle San José de Calasanz 7
                                , Osuna",Gimnasio
ALLBODY,"Calle Mairena 46
                                , Alcalá de Guadaíra",Gimnasio
Poligono Industruial Los Olivos,"Calle Laurel 4
                                , Santiponce",Gimnasio
Du&Que Sport Gym,", Villanueva del Río y Minas",Gimnasio
Capoeira en Sevilla,"Av. Pintor Ocaña 43
                                , Cantillana",Gimnasio
Área de Deportes. Ayuntamiento de Tocina,"C. 28 de Febrero 4""N
                                , La Rinconada",Gimnasio
Dorian,", Lora del Río",Gimnasio
Centro Deportivo Viding La Rosaleda,"Calle Maestro Solano s/n
                                , Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Actividades dirigidas, Piscina, Gimnasio, Aparcamiento, Bar-restaurante, Vestuarios"
Dreamfit Sevilla Alcampo,"Av. Ronda del Tamarguillo, 27
                                , Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Actividades dirigidas, Gimnasio, Spa, Aparcamiento, Vestuarios, Sauna"
Lowfit Viapol,"Calle Pirotecnia s/n
                                , Sevilla","Actividades dirigidas, Entrenamientos personalizados, Gimnasio, Aparcamiento, Vestuarios"
Centro Deportivo Tiro de Línea,", Sevilla","Servicio de taquillas, Piscina, Gimnasio, Vestuarios"
Centro Deportivo Santa Justa Fútbol,", Sevilla",Gimnasio
Cartuja Club,", Sevilla","Pilates, Yoga, Gimnasio, Vestuarios"
Gimnasio Iron Works,"Calle Medina y Galnares 84
                                , Sevilla","Gimnasio, Vestuarios"
Natural Body Fit | Electroestimulación Y Electrofitness | Entrenamiento Personal|Manicura y Pedicura,"Av. de Miraflores 38
                                , Sevilla","Entrenamientos personalizados, Gimnasio"
Electrofit Sevilla,"Calle Eufrates 8
                                , Sevilla",Gimnasio
Centro deportivo La Venta,"Calle Villamartín
                                , Arahal","Piscina, Gimnasio"
Gym Enforma,"Calle Ramón del Valle Inclán 21A
                                , Arahal",Gimnasio
La Doctora Padel,"C. las Navas 4
                                , Sevilla","Pistas de pádel, Gimnasio, Aparcamiento"
GLOBAL YOGA TOMARES,"C. los Naranjos 1A
                                , Tomares","Yoga, Gimnasio"
Centro Deportivo Pino Montano,"C. Cortijo de las Casillas s/n
                                , Sevilla","Gimnasio, Aparcamiento"
Piscina bellavista,", Sevilla","Piscina, Gimnasio, Vestuarios"
Centro Social y Deportivo Vistazul,"C. Nelson Mandela 42
                                , Dos Hermanas","Piscina, Gimnasio"
Centro Municipal Acuático Deportivo,"C. Arona
                                , Dos Hermanas",Gimnasio
WORLDFITJR,"Av. del Genil 1
                                , Écija",Gimnasio
Complejo Polideportivo Raúl Fernández Pavón,"Av. Sevilla 57
                                , Brenes",Gimnasio
C.C. Los Carteros,"Av. de Pino Montano 31
                                , Sevilla",Gimnasio
Escuela De Tae Kwon Do Mairena Del Aljarafe,", Mairena del Aljarafe",Gimnasio
"Pabellón Municipal de Gerena "" Manuel Santos García""","C. del Ferrocarril S/N
                                , Gerena","Piscina, Gimnasio"
Centro Deportivo San Luis,"C. San Luis 29
                                , Sevilla",Gimnasio
Centro Supera 24 horas Sevilla Génova,"Calle Génova 6
                                , Sevilla",Gimnasio
Go Fit Sevilla,"Calle José Laguillo
                                , Sevilla","Servicio de nutrición y dietética, Actividades dirigidas, Step, Pistas de pádel, Piscina, Gimnasio, Spa, Aparcamiento"
Supraljarafe,"Plaza Pdte. Rafael Escuredo 1
                                , Umbrete","Clases de tenis, Clases de pádel, Pilates, Pistas de pádel, Piscina, Gimnasio, Spa, Cafetería"
Enjoy! San Bernardo,"Av. de Cádiz
                                , Sevilla","Clases de tenis, Clases de pádel, BodyCombat, Piscina, Gimnasio, Zona infantil, Vestuarios, Sauna"
Centro Deportivo Bellavista,"C. Gaspar Calderas S/N
                                , Sevilla","Piscina, Gimnasio, Vestuarios"
Hammer Fitness,"Calle Gramil 1
                                , Sevilla","Gimnasio, Vestuarios"
Centro Deportivo Viding Piscinas Sevilla,"Av. de la Ciudad Jardín s/n
                                , Sevilla","Fisioterapeuta deportivo, Servicio de nutrición y dietética, Actividades dirigidas, Piscina, Gimnasio, Bar-restaurante, Vestuarios, Jacuzzi"
Centro Supera Sevilla Centro Deportivo Supera Guadalquivir,"Calle Mar del Plata s/n
                                , Sevilla","Actividades dirigidas, Step, Entrenamientos personalizados, Pistas de pádel, Piscina, Gimnasio, Spa, Aparcamiento"
Forus Sevilla,"Calle Crédito 3
                                , Sevilla","Escuela de natación, Piscina, Gimnasio, Vestuarios"
Centro Deportivo Rochelambert,"Av. Doña Francisquita 5
                                , Sevilla","Piscina, Gimnasio, Vestuarios"
Polideportivo Municipal 1 de Mayo,"Av. Cuesta de Cross S/N
                                , San Juan de Aznalfarache","Piscina, Gimnasio, Vestuarios"
Synergym Sevilla Nervión,"Calle Benito Mas y Prat, 8
                                , Sevilla","Actividades dirigidas, Body Balance, Body Pump, Gimnasio, Vestuarios"
Pabellón de Deportes Rafa Baena,"C. Dehesa 50
                                , Estepa","Piscina, Gimnasio"
Centro Deportivo Valdezorras,"C. Vereda de Poco Aceite
                                , Sevilla","Campos de fútbol, Gimnasio"
DXT10,"C. María Auxiliadora S/N
                                , Morón de la Frontera","Pistas de pádel, Gimnasio"
Importaciones Mugar,", Tomares",Gimnasio
nado libre,"Calle Sgto. Manuel Olmo Sánchez 8
                                , Sevilla",Gimnasio
"Polideportivo municipal Francisco Sánchez ""Castañita""","C. Galileo Galilei 45
                                , La Rinconada","Piscina, Gimnasio"
Pabellón Santa Lucía,"Av. Piedra del Gallo s/n
                                , El Viso del Alcor",Gimnasio
Piscina Municipal Cubierta,"C. Rafael Alberti 155
                                , Casariche","Piscina, Gimnasio"
Pabellon Pilas,"Av. Reina de las Marismas 20
                                , Pilas",Gimnasio
Campo Fútbol Antonio Rojas,"C. Alicante 50
                                , Mairena del Aljarafe","Campos de fútbol, Gimnasio"
Gimnasio Asociación de vecinos Los Andes,"C. Bolivia 15
                                , Sevilla","HIIT, Spinning, Gimnasio"
Club Deportivo Fit in,"Calle Artesanía 9
                                , Mairena del Aljarafe",Gimnasio
Lowgym Mairena,"Calle Desarrollo 29
                                , Mairena del Aljarafe",Gimnasio
CD ALCOSA - Gimnasio,", Sevilla",Gimnasio
Curves Macarena Centro,"Calle Aceituno 6
                                , Sevilla","Zumba, Gimnasio, Vestuarios"
MAXIMUN SPORT,"Calle Dr. Marcelo del Río 2
                                , Tocina",Gimnasio
Roco Patio Arahal,"Calle Juan Pérez
                                , Arahal",Gimnasio
Centro Supera Sevilla Centro Deportivo Supera Entrepuentes,"Calle Cueva de la Pileta s/n
                                , Sevilla","Actividades dirigidas, Step, Entrenamientos personalizados, Pistas de pádel, Piscina, Gimnasio, Spa, Aparcamiento"
Aeris Sport,"Av. María Auxiliadora
                                , Utrera",Gimnasio
Parquing Club Social Ciudad Expo,"Calle Marco Polo 16
                                , Mairena del Aljarafe","Gimnasio, Aparcamiento"
Pruebas fisicas Vs,"Ctra. Gelves 199
                                , San Juan de Aznalfarache",Gimnasio
Club Deportivo Nudion 30,"C. Flor de Retama 0
                                , Sevilla","CrossFit, Actividades dirigidas, Aerobox, Campos de fútbol, Campos de baloncesto, Piscina, Gimnasio, Vestuarios"
MaxGym,"Calle Castilblanco de los Arroyos 1
                                , Mairena del Aljarafe","Gimnasio, Aparcamiento, Vestuarios"
Lowgym Tomares,"Av. del Aljarafe 3
                                , Tomares","Actividades dirigidas, Gimnasio, Vestuarios"
McFit Sevilla Santa Justa,"C.C. Mirador de Santa Justa, Av. Kansas City s/n
                                , Sevilla","Actividades dirigidas, Gimnasio, Vestuarios"
Galisport Happiness Club,"Cardenal Bueno Monreal s/n
                                , Sevilla","Aquagym, Fisioterapeuta deportivo, Servicio de nutrición y dietética, Piscina, Gimnasio, Aparcamiento, Vestuarios"
Centro Deportivo Sevilla Este padel,"Av. del Deporte s/n
                                , Sevilla","Pistas de pádel, Gimnasio"
Cuesta sport,"Calle Almte. Espinosa 5a
                                , Sevilla","Step, Body Pump, Pilates, Gimnasio, Vestuarios, Sauna"
Club Metropolitan Sevilla,"Avda. Eduardo Dato, 49
                                , Sevilla","Tonificación, Actividades dirigidas, Escuela de natación, Piscina, Gimnasio, Spa, Solarium, Sala Fitness"
VivaGym Los Remedios Sevilla,"Avda. República Argentina, 27
                                , Sevilla","Actividades dirigidas, Step, TRX, Gimnasio, Aparcamiento, Sala de spinning, Sala de cardio"
BeWay Sport Center,"C. Argos 13
                                , Sevilla","Entrenamientos personalizados, Gimnasio"
Planet Gym Sport Sociedad de Responsabilidad Limitada Laboral.,", Bormujos",Gimnasio
TRYON Innovative Fitness Solutions,"Calle Artesanía 8
                                , Gelves",Gimnasio
Centro Deportivo Altea,"Av. Santa Lucía 59
                                , Alcalá de Guadaíra",Gimnasio
Alma Sport Center,"C. Darro 37
                                , Lebrija",Gimnasio
Pabellón Cubierto Municipal,"C. Ramón y Cajal 37
                                , Valencina de la Concepción",Gimnasio
Polideportivo Los Montecillos,"Cl. Meñaca 6
                                , Dos Hermanas","Gimnasio, Aparcamiento"
Centro Deportivo Entreflores,"C. Flor de Retama 4
                                , Sevilla",Gimnasio
Pabellón Polideportivo Cavalieri,"Av. de la Constitución s/n
                                , Mairena del Aljarafe","Escuela de natación, Gimnasio, Pistas polideportivas"
Centro Deportivo Fili Pino Montano,"Calle Corral de los Olmos
                                , Sevilla","Piscina, Gimnasio, Vestuarios, Sala Fitness"
Hispano Happiness Club,"C. Ignacio Gómez Millán s/n
                                , Sevilla","Servicio de taquillas, Piscina, Gimnasio, Vestuarios, Jacuzzi, Sauna"
Campo santiponce,"Av. Rocío Vega 12
                                , Santiponce",Gimnasio
Cantillana Padel,"Calle Azahar
                                , Cantillana","Pistas de pádel, Gimnasio"
Pistas deportivas zona Hiconsa Camas,"Parque Montaña C
                                , Camas","Pistas de pádel, Campos de fútbol, Gimnasio"
Street Workout Lora del Río,", Lora del Río","Campos de fútbol, Gimnasio"
Padel Camas,"Calle de Joaquín Camino 21
                                , Camas","Pistas de pádel, Gimnasio"
Centro Deportivo Amate,"Av. la Revoltosa s/n
                                , Sevilla","Pistas de pádel, Gimnasio, Aparcamiento"
Centro deportivo las almenas,", Sevilla",Gimnasio
Campo Municipal De Fútbol,"C. Rafael Alberti 155
                                , Casariche","Gimnasio, Pistas de atletismo, Vestuarios"
"Centro Deportivo Antonio Alvarez Gordón ""Tejares""","Rda. de Triana 5
                                , Sevilla",Gimnasio
Centro Deportivo San Jerónimo Puente,"Calle Medina y Galnares
                                , Sevilla","Gimnasio, Aparcamiento"
Pabellón Vistalegre,"Ctra. Utrera-los Palacios 5
                                , Utrera",Gimnasio
Piscina Mairena Del Aljarafe,", Mairena del Aljarafe","Piscina, Gimnasio"
Vivagym Dos Hermanas,"Av. Ing. José Luis Prats
                                , Dos Hermanas","Actividades dirigidas, Step, TRX, Gimnasio, Aparcamiento, Sala de spinning, Sala de cardio"
Centro Deportivo Ifni,"C. Ifni 1
                                , Sevilla",Gimnasio
